id,title,main_thema,sub_thema,main_emotion,sub_emotion,era,era_year,asset_folder_name
1,웅장한 자연 산수화 1호,자연,,경이,슬픔,고려,1100,asset_1
2,쓸쓸한 자연 별 헤는 밤 2호,자연,,평온,,조선후기,1800,asset_2
3,바쁘게 돌아가는 시장 풍경,도시,민속,슬픔,,근현대,1950,asset_3
4,아름다운 민속 산수화 4호,민속,,역동,슬픔,조선후기,1800,asset_4
5,웅장한 민속 대첩도 5호,민속,,역동,경이,조선전기,1450,asset_5
6,처절한 도시 초상화 6호,도시,자연,평온,역동,고려,1100,asset_6
7,활기찬 도시 풍속화 7호,도시,자연,역동,,고려,1100,asset_7
8,평화로운 도시 산수화 8호,도시,,경이,,고려,1100,asset_8
9,북적이는 민속 야경 9호,민속,도시,평온,슬픔,고려,1100,asset_9
10,처절한 전쟁 대첩도 10호,전쟁,,경이,슬픔,조선전기,1450,asset_10
11,역동적인 도시 시가전 11호,도시,,평온,,고려,1100,asset_11
12,고요한 전쟁 별 헤는 밤 12호,전쟁,,경이,,근현대,1950,asset_12
13,화려한 도시 야경 13호,도시,자연,슬픔,평온,조선전기,1450,asset_13
14,아름다운 자연 유람도 14호,자연,민속,경이,슬픔,조선후기,1800,asset_14
15,웅장한 전쟁 폭풍전야 15호,전쟁,민속,경이,슬픔,고려,1100,asset_15
16,치열한 전쟁 시장풍경 16호,전쟁,,역동,경이,고려,1100,asset_16
17,비장한 전쟁 별 헤는 밤 17호,전쟁,자연,평온,,고려,1100,asset_17
18,고요한 전쟁 시장풍경 18호,전쟁,,평온,역동,조선후기,1800,asset_18
19,아름다운 도시 별 헤는 밤 19호,도시,,평온,,고려,1100,asset_19
20,웅장한 도시 산수화 20호,도시,자연,경이,역동,고려,1100,asset_20
21,쓸쓸한 도시 밤거리 21호,도시,,슬픔,,고려,1100,asset_21
22,고풍스러운 민속 궁궐도 22호,민속,,경이,슬픔,근현대,1950,asset_22
23,화려한 도시 대첩도 23호,도시,전쟁,평온,,조선전기,1450,asset_23
24,평화로운 자연 시장풍경 24호,자연,민속,평온,,조선후기,1800,asset_24
25,활기찬 민속 시장풍경 25호,민속,,역동,,고려,1100,asset_25
26,처절한 전쟁의 기록 26호,전쟁,민속,슬픔,,조선전기,1450,asset_26
27,역동적인 도시 풍속화 27호,도시,전쟁,역동,평온,고려,1100,asset_27
28,슬픈 도시의 단면 28호,도시,자연,슬픔,,고려,1100,asset_28
29,평화로운 산수 유람도 29호,자연,민속,평온,,조선전기,1450,asset_29
30,웅장한 민속 폭풍전야 30호,민속,도시,역동,슬픔,근현대,1950,asset_30
31,치열한 전쟁 풍속화 31호,전쟁,민속,역동,,고려,1100,asset_31
32,쓸쓸한 전쟁 별 헤는 밤 32호,전쟁,도시,역동,,조선후기,1800,asset_32
33,평화로운 자연 대첩도 33호,자연,,역동,,조선전기,1450,asset_33
34,웅장한 민속 야경 34호,민속,,역동,슬픔,조선후기,1800,asset_34
35,평화로운 전쟁 산수화 35호,전쟁,민속,평온,역동,근현대,1950,asset_35
36,고요한 자연 전투도 36호,자연,,슬픔,,조선후기,1800,asset_36
37,쓸쓸한 민속 유람도 37호,민속,전쟁,평온,슬픔,조선후기,1800,asset_37
38,웅장한 도시 시가전 38호,도시,전쟁,경이,역동,근현대,1950,asset_38
39,쓸쓸한 민속 폭풍전야 39호,민속,도시,슬픔,평온,근현대,1950,asset_39
40,웅장한 도시 산수화 40호,도시,자연,평온,,조선후기,1800,asset_40
41,역동적인 자연 유람도 41호,자연,민속,평온,,고려,1100,asset_41
42,쓸쓸한 자연 궁궐도 42호,자연,,슬픔,,근현대,1950,asset_42
43,처절한 자연 대첩도 43호,자연,전쟁,경이,,고려,1100,asset_43
44,고요한 도시 초상화 44호,도시,전쟁,슬픔,,조선전기,1450,asset_44
45,평화로운 자연 풍속화 45호,자연,,역동,,근현대,1950,asset_45
46,평화로운 민속 대첩도 46호,민속,,경이,슬픔,조선전기,1450,asset_46
47,슬픈 도시의 궁궐 47호,도시,,슬픔,역동,근현대,1950,asset_47
48,웅장한 자연 야경 48호,자연,,경이,,고려,1100,asset_48
49,역동적인 자연 폭풍전야 49호,자연,,슬픔,경이,조선전기,1450,asset_49
50,아름다운 도시 산수화 50호,도시,민속,경이,,조선후기,1800,asset_50
